"count";"username";"datetime";"text"
"1126";"marzi5060";"00:35:51 20-12-2020";"@zahraeyvaznejad"
"1127";"somayyeh1108taleb";"00:35:52 20-12-2020";"روز پرستار روز جاری عاطفه ها. روز درخشیدن ایمان در قلب های مهربان. روز افتخار انسان به انسانیت گرامی باد."
"1128";"m.capricorn33";"00:35:54 20-12-2020";"روز پرستار روز فرشتگان سفید پوش وزحمتکش مبارک"
"1129";"donya_nazimi";"00:36:17 20-12-2020";"واقعا خسته نباشید 🙌😍"
"1130";"amirpormah";"00:36:34 20-12-2020";"از خدا ممنونم که شما را به ما داده"
"1131";"montazere_khorshid";"00:37:08 20-12-2020";"الهی همیشه سالم وسلامت باشین"
"1132";"marzi5060";"00:37:45 20-12-2020";"پرستاران فرشته های مهربان زمینی هستند روزشون مبارک 🌹🌹🌹💖💖💖💖"
"1133";"mr_heyrati";"00:38:11 20-12-2020";"ان شالله هر چی از خدا میخواید بهتون بده همین🌷"
"1134";"rahil_drakhshandeh";"00:38:58 20-12-2020";"روزتون مبارک و خداقوت 😍😙"
"1135";"93.nasrin.66";"00:39:04 20-12-2020";"پرستار فرشتگان رحمت برای حال بیمارن روزتون مبارکباد"
"1136";"rasta6752";"00:39:13 20-12-2020";"پرستار یعنی مهر ،محبت بی پایان وانتظار از کسی نداشتن.روز پرستار مبارک🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹"
"1137";"fati981313";"00:40:08 20-12-2020";"@shv_rouhi"
"1138";"fati981313";"00:40:12 20-12-2020";"@fateme13691372"
"1139";"fati981313";"00:40:15 20-12-2020";"@somaye24290"
"1140";"fati981313";"00:40:18 20-12-2020";"@hamed_negar"
"1141";"pouran_1332";"00:40:29 20-12-2020";"سلام من خودم پرستارم الانم بعد ازدوتا شیفت پر کار امدم خونه واقعا همه خیلی زحمت میکشند خسته وناراحت بیماران وخانواده انها که کرونا دارند پس لطفا لطفا شب یلدا را بی خیال بشید ومواظب افراد مسن خانوادها باشید انشالا همیشه سلامت وخوش در کنار عزیزانتون باشید"
"1142";"fati981313";"00:40:40 20-12-2020";"@madar9856"
"1143";"fati981313";"00:40:43 20-12-2020";"@mar_y1015"
